TITLE,DESCRIPTION,LINK,Published Date,text,new_column,polarity,subjectivity,len,new_result
Xi Jinping celebrates China’s rising power — and his own,,http://www.pbs.org/newshour/bb/xi-jinping-celebrates-chinas-rising-power/,2017-10-18 22:35:21 ,Xi Jinping celebrates China’s rising power — and his own ,Xi Jinping celebrates China’s rising power — and his own,0.0,0.0,34,WORLD NEWS
"The battle for Mosul is over, but this hidden ISIS danger could lurk for years",,http://www.pbs.org/newshour/bb/battle-mosul-hidden-isis-danger-lurk-years/,2017-10-18 22:20:26 ,"The battle for Mosul is over, but this hidden ISIS danger could lurk for years ","The battle for Mosul is over, but this hidden ISIS danger could lurk for years",0.0,0.0,46,WORLDPOST
"As Rohingya refugees continue to flee from persecution, here’s how you can help",,http://www.pbs.org/newshour/rundown/rohingya-refugees-continue-flee-persecution-heres-can-help/,2017-10-18 20:58:34 ,"As Rohingya refugees continue to flee from persecution, here’s how you can help ","As Rohingya refugees continue to flee from persecution, here’s how you can help",0.0,0.0,48,WORLD NEWS
Tillerson: ‘Heartbreaking’ reports of suffering in Myanmar,,http://www.pbs.org/newshour/rundown/tillerson-heartbreaking-reports-suffering-myanmar/,2017-10-18 15:36:51 ,Tillerson: ‘Heartbreaking’ reports of suffering in Myanmar ,Tillerson: ‘Heartbreaking’ reports of suffering in Myanmar,0.0,0.0,45,WORLD NEWS
Far-right groups gain ground in Sweden and Germany amid migrant influx,,http://www.pbs.org/newshour/bb/far-right-groups-gain-ground-sweden-germany-amid-migrant-influx/,2017-10-17 22:30:37 ,Far-right groups gain ground in Sweden and Germany amid migrant influx ,Far-right groups gain ground in Sweden and Germany amid migrant influx,0.19285714285714284,0.7678571428571428,61,THE WORLDPOST
U.S.-backed Syrian forces recapture Raqqa from Islamic State group,,http://www.pbs.org/newshour/rundown/u-s-backed-syrian-forces-recapture-raqqa-from-islamic-state-group/,2017-10-17 16:57:20 ,U.S.-backed Syrian forces recapture Raqqa from Islamic State group ,U.S.-backed Syrian forces recapture Raqqa from Islamic State group,0.0,0.0,53,THE WORLDPOST
WATCH: Trump and Greek prime minister hold joint news conference,,http://www.pbs.org/newshour/rundown/watch-live-trump-and-greek-prime-minister-hold-joint-press-conference/,2017-10-17 16:28:24 ,WATCH: Trump and Greek prime minister hold joint news conference ,WATCH: Trump and Greek prime minister hold joint news conference,0.0,0.0,54,THE WORLDPOST
"U.S., Japan agree to maximize diplomatic pressure on North Korea",,http://www.pbs.org/newshour/rundown/u-s-japan-agree-maximize-diplomatic-pressure-north-korea/,2017-10-17 13:01:05 ,"U.S., Japan agree to maximize diplomatic pressure on North Korea ","U.S., Japan agree to maximize diplomatic pressure on North Korea",0.0,0.0,52,WORLD NEWS
News Wrap: Dozens missing after deadly Mogadishu truck bombing,,http://www.pbs.org/newshour/bb/news-wrap-dozens-missing-deadly-mogadishu-truck-bombing/,2017-10-16 22:45:17 ,News Wrap: Dozens missing after deadly Mogadishu truck bombing ,News Wrap: Dozens missing after deadly Mogadishu truck bombing,-0.2,0.4,44,WORLD NEWS
Why a power struggle has broken out over Kirkuk,,http://www.pbs.org/newshour/bb/power-struggle-broken-kirkuk/,2017-10-16 22:40:31 ,Why a power struggle has broken out over Kirkuk ,Why a power struggle has broken out over Kirkuk,0.0,0.0,27,WELLNESS
